run_id,model,method,task,metric_dimension,aug,think,strict_f1,strict_acc,lenient_f1,lenient_acc,n_total_rows,n_scored_rows,n_unknown,unknown_rate,unknown_row_indices,prediction_file,timestamp
001,LLaMA-3.1-8B,Zero-shot,MI,MI,None,N/A,0.491589,0.511152,0.766216,0.849442,538,538,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Baseline-Experiments/LLaMA-ZeroShot/run001_mi_predictions.csv,2026-04-23T00:49:23
002,LLaMA-3.1-8B,Zero-shot,ML,ML,None,N/A,0.325263,0.297571,0.674839,0.771255,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Baseline-Experiments/LLaMA-ZeroShot/run002_ml_predictions.csv,2026-04-23T00:57:58
003,LLaMA-3.1-8B,Zero-shot,PG,PG,None,N/A,0.370827,0.352227,0.663058,0.791498,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Baseline-Experiments/LLaMA-ZeroShot/run003_pg_predictions.csv,2026-04-23T01:09:21
004,LLaMA-3.1-8B,Zero-shot,Act,Act,None,N/A,0.359872,0.348178,0.62652,0.720648,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Baseline-Experiments/LLaMA-ZeroShot/run004_act_predictions.csv,2026-04-23T01:22:48
005,LLaMA-3.1-8B,Zero-shot,MT,MI,None,N/A,0.499306,0.684211,0.696163,0.809717,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Baseline-Experiments/LLaMA-ZeroShot/run005_mt_predictions.csv,2026-04-23T01:25:25
005,LLaMA-3.1-8B,Zero-shot,MT,ML,None,N/A,0.206767,0.265182,0.521318,0.522267,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Baseline-Experiments/LLaMA-ZeroShot/run005_mt_predictions.csv,2026-04-23T01:25:25
005,LLaMA-3.1-8B,Zero-shot,MT,PG,None,N/A,0.373534,0.417004,0.590721,0.805668,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Baseline-Experiments/LLaMA-ZeroShot/run005_mt_predictions.csv,2026-04-23T01:25:25
005,LLaMA-3.1-8B,Zero-shot,MT,Act,None,N/A,0.298765,0.530364,0.506731,0.672065,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Baseline-Experiments/LLaMA-ZeroShot/run005_mt_predictions.csv,2026-04-23T01:25:25
006,LLaMA-3.1-8B,LoRA,MI,MI,None,N/A,0.659952,0.754647,0.868463,0.920074,538,538,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Baseline-Experiments/LORA/Llama-3.1-8B/outputs/run006_mi_predictions.csv,2026-04-23T14:43:51
007,LLaMA-3.1-8B,LoRA,ML,ML,None,N/A,0.440367,0.59919,0.723249,0.797571,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Baseline-Experiments/LORA/Llama-3.1-8B/outputs/run007_ml_predictions.csv,2026-04-23T14:44:05
008,LLaMA-3.1-8B,LoRA,PG,PG,None,N/A,0.466988,0.591093,0.730665,0.834008,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Baseline-Experiments/LORA/Llama-3.1-8B/outputs/run008_pg_predictions.csv,2026-04-23T14:44:15
009,LLaMA-3.1-8B,LoRA,Act,Act,None,N/A,0.587802,0.659919,0.780931,0.805668,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Baseline-Experiments/LORA/Llama-3.1-8B/outputs/run009_act_predictions.csv,2026-04-23T14:44:28
010,LLaMA-3.1-8B,LoRA,MT,MI,None,N/A,0.567189,0.854251,0.845544,0.923077,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Baseline-Experiments/LORA/Llama-3.1-8B/outputs/run010_mt_predictions.csv,2026-04-23T14:45:47
010,LLaMA-3.1-8B,LoRA,MT,ML,None,N/A,0.424037,0.643725,0.668951,0.722672,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Baseline-Experiments/LORA/Llama-3.1-8B/outputs/run010_mt_predictions.csv,2026-04-23T14:45:47
010,LLaMA-3.1-8B,LoRA,MT,PG,None,N/A,0.477407,0.595142,0.722911,0.842105,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Baseline-Experiments/LORA/Llama-3.1-8B/outputs/run010_mt_predictions.csv,2026-04-23T14:45:47
